dataset,tnet_old_prec,tnet_old_rec,tnet_old_f1,tnet_new_prec,tnet_new_rec,tnet_new_f1
SEIR01_sl500_mr025_nv10_2,0.625,0.625,0.625,0.5,0.5,0.5
SEIR01_sl500_mr025_nv10_20,0.767,0.719,0.742,0.815,0.688,0.746
SEIR01_sl500_mr025_nv10_3,0.826,0.905,0.864,0.826,0.905,0.864
SEIR01_sl500_mr025_nv10_4,0.625,0.714,0.667,0.75,0.857,0.8
SEIR01_sl500_mr025_nv10_5,0.667,0.8,0.727,1,0.8,0.889
SEIR01_sl500_mr025_nv10_6,0.857,0.906,0.881,0.894,0.792,0.84
SEIR01_sl500_mr025_nv10_7,0.8,0.824,0.812,0.771,0.794,0.783
SEIR01_sl500_mr025_nv10_8,0.737,0.875,0.8,0.737,0.875,0.8
SEIR01_sl500_mr025_nv10_9,0.778,0.778,0.778,0.778,0.778,0.778
SIR003_sl1000_mr025_nv10_1,0.714,0.714,0.714,0.833,0.714,0.769
SIR003_sl1000_mr025_nv10_10,0.786,0.846,0.815,0.833,0.769,0.8
SIR003_sl1000_mr025_nv10_11,0.679,0.633,0.655,0.85,0.567,0.68
SIR003_sl1000_mr025_nv10_12,0.837,0.837,0.837,0.848,0.796,0.821
SIR003_sl1000_mr025_nv10_13,0.667,0.545,0.6,0.667,0.364,0.471
SIR003_sl1000_mr025_nv10_14,0.857,0.8,0.828,0.846,0.733,0.786
SIR003_sl1000_mr025_nv10_15,0.667,0.583,0.622,0.722,0.542,0.619
SIR003_sl1000_mr025_nv10_16,0.632,0.706,0.667,0.688,0.647,0.667
SIR003_sl1000_mr025_nv10_17,0.75,0.783,0.766,0.818,0.783,0.8
SIR003_sl1000_mr025_nv10_18,1,1,1,1,1,1
SIR003_sl1000_mr025_nv10_19,0.783,0.75,0.766,0.739,0.708,0.723
SIR003_sl1000_mr025_nv10_2,0.882,0.789,0.833,0.875,0.737,0.8
SIR003_sl1000_mr025_nv10_20,0.667,0.667,0.667,0.667,0.667,0.667
SIR003_sl1000_mr025_nv10_3,1,0.769,0.87,1,0.731,0.844
SIR003_sl1000_mr025_nv10_4,0.852,0.742,0.793,0.875,0.677,0.764
SIR003_sl1000_mr025_nv10_5,0.857,0.857,0.857,0.714,0.714,0.714
SIR003_sl1000_mr025_nv10_6,0.696,0.696,0.696,0.75,0.652,0.698
SIR003_sl1000_mr025_nv10_7,0.571,0.5,0.533,0.643,0.562,0.6
SIR003_sl1000_mr025_nv10_8,0.867,0.867,0.867,0.867,0.867,0.867
SIR003_sl1000_mr025_nv10_9,0.643,0.643,0.643,0.842,0.571,0.681
SIR003_sl1000_mr05_nv10_1,0.625,0.588,0.606,0.786,0.647,0.71
SIR003_sl1000_mr05_nv10_10,0.846,0.846,0.846,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_11,0.657,0.657,0.657,0.667,0.629,0.647
SIR003_sl1000_mr05_nv10_12,0.827,0.782,0.804,0.857,0.764,0.808
SIR003_sl1000_mr05_nv10_13,0.827,0.768,0.796,0.894,0.75,0.816
SIR003_sl1000_mr05_nv10_14,1,1,1,1,1,1
SIR003_sl1000_mr05_nv10_15,0.846,0.846,0.846,0.923,0.923,0.923
SIR003_sl1000_mr05_nv10_16,0.769,0.8,0.784,0.789,0.6,0.682
SIR003_sl1000_mr05_nv10_17,0.667,0.429,0.522,0.75,0.429,0.545
SIR003_sl1000_mr05_nv10_18,0.81,0.739,0.773,0.8,0.696,0.744
SIR003_sl1000_mr05_nv10_19,0.711,0.73,0.72,0.763,0.784,0.773
SIR003_sl1000_mr05_nv10_2,0.933,0.933,0.933,0.933,0.933,0.933
SIR003_sl1000_mr05_nv10_20,0.571,0.444,0.5,0.75,0.333,0.462
SIR003_sl1000_mr05_nv10_3,0.8,0.8,0.8,0.875,0.7,0.778
SIR003_sl1000_mr05_nv10_4,0.846,0.846,0.846,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_5,0.5,0.478,0.489,0.655,0.413,0.507
SIR003_sl1000_mr05_nv10_6,0.591,0.619,0.605,0.722,0.619,0.667
SIR003_sl1000_mr05_nv10_7,0.905,0.826,0.864,0.905,0.826,0.864
SIR003_sl1000_mr05_nv10_8,0.727,0.696,0.711,0.85,0.739,0.791
SIR003_sl1000_mr05_nv10_9,0.727,0.533,0.615,0.867,0.433,0.578
SIR003_sl1000_mr05_nv20_1,0.812,0.743,0.776,0.839,0.743,0.788
SIR003_sl1000_mr05_nv20_10,0.843,0.827,0.835,0.955,0.808,0.875
SIR003_sl1000_mr05_nv20_11,0.667,0.4,0.5,1,0.4,0.571
SIR003_sl1000_mr05_nv20_12,0.736,0.709,0.722,0.776,0.691,0.731
SIR003_sl1000_mr05_nv20_13,0.765,0.722,0.743,0.844,0.704,0.768
SIR003_sl1000_mr05_nv20_14,0.9,0.9,0.9,0.9,0.9,0.9
SIR003_sl1000_mr05_nv20_15,0.737,0.737,0.737,0.875,0.737,0.8
SIR003_sl1000_mr05_nv20_16,0.75,0.698,0.723,0.857,0.698,0.769
SIR003_sl1000_mr05_nv20_17,0.733,0.66,0.695,0.786,0.66,0.717
SIR003_sl1000_mr05_nv20_18,0.784,0.763,0.773,0.844,0.711,0.771
SIR003_sl1000_mr05_nv20_19,0.722,0.703,0.712,0.812,0.703,0.754
SIR003_sl1000_mr05_nv20_2,0.773,0.694,0.731,0.821,0.653,0.727
SIR003_sl1000_mr05_nv20_20,0.857,0.857,0.857,0.857,0.857,0.857
SIR003_sl1000_mr05_nv20_3,0.692,0.692,0.692,0.889,0.615,0.727
SIR003_sl1000_mr05_nv20_4,0.875,0.875,0.875,0.839,0.812,0.825
SIR003_sl1000_mr05_nv20_5,0.762,0.667,0.711,0.842,0.667,0.744
SIR003_sl1000_mr05_nv20_6,0.769,0.714,0.741,0.909,0.714,0.8
SIR003_sl1000_mr05_nv20_7,0.727,0.667,0.696,0.75,0.75,0.75
SIR003_sl1000_mr05_nv20_8,0.63,0.63,0.63,0.708,0.63,0.667
SIR003_sl1000_mr05_nv20_9,0.75,0.75,0.75,0.789,0.75,0.769
SIR003_sl1000_mr05_nv5_1,0.722,0.743,0.732,0.781,0.714,0.746
SIR003_sl1000_mr05_nv5_10,0.816,0.756,0.785,0.882,0.732,0.8
SIR003_sl1000_mr05_nv5_11,0.772,0.71,0.739,0.74,0.597,0.661
SIR003_sl1000_mr05_nv5_12,0.833,0.833,0.833,0.833,0.833,0.833
SIR003_sl1000_mr05_nv5_13,0.833,0.909,0.87,0.833,0.909,0.87
SIR003_sl1000_mr05_nv5_14,0.586,0.586,0.586,0.773,0.586,0.667
SIR003_sl1000_mr05_nv5_15,0.79,0.79,0.79,0.83,0.71,0.765
SIR003_sl1000_mr05_nv5_16,0.667,0.667,0.667,0.833,0.833,0.833
SIR003_sl1000_mr05_nv5_17,0.66,0.646,0.653,0.771,0.562,0.651
SIR003_sl1000_mr05_nv5_18,0.812,0.812,0.812,0.812,0.812,0.812
SIR003_sl1000_mr05_nv5_19,0.559,0.559,0.559,0.667,0.529,0.59
SIR003_sl1000_mr05_nv5_2,0.667,0.667,0.667,0.667,0.667,0.667
SIR003_sl1000_mr05_nv5_20,0.769,0.769,0.769,0.846,0.846,0.846
SIR003_sl1000_mr05_nv5_3,0.625,0.625,0.625,0.75,0.75,0.75
SIR003_sl1000_mr05_nv5_4,0.917,0.786,0.846,1,0.786,0.88
SIR003_sl1000_mr05_nv5_5,0.9,0.818,0.857,1,0.636,0.778
SIR003_sl1000_mr05_nv5_6,0.556,0.455,0.5,0.8,0.364,0.5
SIR003_sl1000_mr05_nv5_7,0.646,0.568,0.604,0.837,0.554,0.667
SIR003_sl1000_mr05_nv5_8,0.579,0.44,0.5,0.857,0.48,0.615
SIR003_sl1000_mr05_nv5_9,0.5,0.542,0.52,0.591,0.542,0.565
SIR003_sl1000_mr1_nv10_1,0.688,0.647,0.667,0.857,0.706,0.774
SIR003_sl1000_mr1_nv10_10,0.5,0.455,0.476,0.625,0.455,0.526
SIR003_sl1000_mr1_nv10_11,0.7,0.7,0.7,0.75,0.6,0.667
SIR003_sl1000_mr1_nv10_12,0.577,0.556,0.566,0.652,0.556,0.6
SIR003_sl1000_mr1_nv10_13,0.167,0.167,0.167,0.167,0.167,0.167
SIR003_sl1000_mr1_nv10_14,0.788,0.722,0.754,0.897,0.722,0.8
SIR003_sl1000_mr1_nv10_15,0.727,0.727,0.727,0.636,0.636,0.636
SIR003_sl1000_mr1_nv10_16,0.733,0.55,0.629,0.769,0.5,0.606
SIR003_sl1000_mr1_nv10_17,0.75,0.75,0.75,0.846,0.688,0.759
SIR003_sl1000_mr1_nv10_18,0.806,0.758,0.781,0.92,0.697,0.793
SIR003_sl1000_mr1_nv10_19,0.667,0.625,0.645,0.837,0.641,0.726
SIR003_sl1000_mr1_nv10_2,0.733,0.698,0.715,0.714,0.635,0.672
SIR003_sl1000_mr1_nv10_20,0.723,0.681,0.701,0.836,0.667,0.742
SIR003_sl1000_mr1_nv10_3,0.826,0.826,0.826,0.75,0.783,0.766
SIR003_sl1000_mr1_nv10_4,0.724,0.724,0.724,0.885,0.793,0.836
SIR003_sl1000_mr1_nv10_5,0.625,0.556,0.588,1,0.556,0.714
SIR003_sl1000_mr1_nv10_6,0.846,0.733,0.786,0.909,0.667,0.769
SIR003_sl1000_mr1_nv10_7,0.75,0.75,0.75,0.833,0.625,0.714
SIR003_sl1000_mr1_nv10_8,0.758,0.714,0.735,0.897,0.743,0.812
SIR003_sl1000_mr1_nv10_9,0.857,0.667,0.75,1,0.667,0.8
SIR003_sl250_mr05_nv10_1,0.556,0.625,0.588,0.667,0.625,0.645
SIR003_sl250_mr05_nv10_10,0.5,0.579,0.537,0.6,0.632,0.615
SIR003_sl250_mr05_nv10_11,0.308,0.333,0.32,0.6,0.5,0.545
SIR003_sl250_mr05_nv10_12,0.583,0.538,0.56,0.636,0.538,0.583
SIR003_sl250_mr05_nv10_13,0.333,0.286,0.308,0,0,0
SIR003_sl250_mr05_nv10_14,0.75,0.75,0.75,0.75,0.75,0.75
SIR003_sl250_mr05_nv10_15,0.875,0.875,0.875,0.875,0.875,0.875
SIR003_sl250_mr05_nv10_16,0.6,0.545,0.571,0.7,0.636,0.667
SIR003_sl250_mr05_nv10_17,0.583,0.622,0.602,0.636,0.622,0.629
SIR003_sl250_mr05_nv10_18,0.68,0.63,0.654,0.652,0.556,0.6
SIR003_sl250_mr05_nv10_19,0.267,0.32,0.291,0.333,0.36,0.346
SIR003_sl250_mr05_nv10_2,0.714,0.714,0.714,0.714,0.714,0.714
SIR003_sl250_mr05_nv10_20,0.587,0.659,0.621,0.641,0.61,0.625
SIR003_sl250_mr05_nv10_3,0.85,0.773,0.81,0.85,0.773,0.81
SIR003_sl250_mr05_nv10_4,0.769,0.833,0.8,0.769,0.833,0.8
SIR003_sl250_mr05_nv10_5,0.696,0.727,0.711,0.739,0.773,0.756
SIR003_sl250_mr05_nv10_6,0.742,0.697,0.719,0.786,0.667,0.721
SIR003_sl250_mr05_nv10_7,0.462,0.522,0.49,0.469,0.5,0.484
SIR003_sl250_mr05_nv10_8,0.556,0.588,0.571,0.588,0.588,0.588
SIR003_sl250_mr05_nv10_9,0.364,0.444,0.4,0.4,0.444,0.421
SIR003_sl500_mr05_nv10_1,0.857,0.857,0.857,0.625,0.714,0.667
SIR003_sl500_mr05_nv10_10,0.629,0.564,0.595,0.731,0.487,0.585
SIR003_sl500_mr05_nv10_11,0.833,0.833,0.833,0.833,0.833,0.833
SIR003_sl500_mr05_nv10_12,0.63,0.654,0.642,0.727,0.615,0.667
SIR003_sl500_mr05_nv10_13,0.738,0.646,0.689,0.821,0.667,0.736
SIR003_sl500_mr05_nv10_14,0.733,0.667,0.698,0.714,0.606,0.656
SIR003_sl500_mr05_nv10_15,0.842,0.842,0.842,1,1,1
SIR003_sl500_mr05_nv10_16,0.5,0.583,0.538,0.583,0.583,0.583
SIR003_sl500_mr05_nv10_17,0.636,0.7,0.667,0.636,0.7,0.667
SIR003_sl500_mr05_nv10_18,0.846,0.846,0.846,0.846,0.846,0.846
SIR003_sl500_mr05_nv10_19,0.673,0.617,0.643,0.686,0.583,0.631
SIR003_sl500_mr05_nv10_2,0.788,0.765,0.776,0.812,0.765,0.788
SIR003_sl500_mr05_nv10_20,0.625,0.625,0.625,0.667,0.5,0.571
SIR003_sl500_mr05_nv10_3,0.759,0.759,0.759,0.84,0.724,0.778
SIR003_sl500_mr05_nv10_4,0.727,0.615,0.667,0.8,0.615,0.696
SIR003_sl500_mr05_nv10_5,0.9,0.9,0.9,0.9,0.9,0.9
SIR003_sl500_mr05_nv10_6,0.833,0.714,0.769,0.833,0.714,0.769
SIR003_sl500_mr05_nv10_7,0.667,0.778,0.718,0.667,0.778,0.718
SIR003_sl500_mr05_nv10_8,0.8,0.8,0.8,0.6,0.6,0.6
SIR003_sl500_mr05_nv10_9,0.857,0.857,0.857,0.857,0.857,0.857
SIR01_sl1000_mr075_nv10_1,0.825,0.825,0.825,0.833,0.789,0.811
SIR01_sl1000_mr075_nv10_10,0.75,0.75,0.75,1,0.75,0.857
SIR01_sl1000_mr075_nv10_11,1,1,1,1,1,1
SIR01_sl1000_mr075_nv10_12,0.893,0.833,0.862,0.893,0.833,0.862
SIR01_sl1000_mr075_nv10_13,0.643,0.643,0.643,0.778,0.5,0.609
SIR01_sl1000_mr075_nv10_14,0.571,0.571,0.571,0.714,0.714,0.714
SIR01_sl1000_mr075_nv10_15,0.833,0.833,0.833,0.833,0.833,0.833
SIR01_sl1000_mr075_nv10_16,0.944,0.944,0.944,0.85,0.944,0.895
SIR01_sl1000_mr075_nv10_17,0.754,0.648,0.697,0.811,0.606,0.694
SIR01_sl1000_mr075_nv10_18,0.818,0.818,0.818,0.833,0.909,0.87
SIR01_sl1000_mr075_nv10_19,0.556,0.455,0.5,0.75,0.273,0.4
SIR01_sl1000_mr075_nv10_2,0.6,0.545,0.571,1,0.636,0.778
SIR01_sl1000_mr075_nv10_20,0.655,0.633,0.644,0.8,0.667,0.727
SIR01_sl1000_mr075_nv10_3,0.545,0.545,0.545,0.667,0.364,0.471
SIR01_sl1000_mr075_nv10_4,0.769,0.789,0.779,0.789,0.789,0.789
SIR01_sl1000_mr075_nv10_5,0.797,0.734,0.764,0.92,0.719,0.807
SIR01_sl1000_mr075_nv10_6,0.75,0.75,0.75,0.75,0.75,0.75
SIR01_sl1000_mr075_nv10_7,0.875,0.875,0.875,0.909,0.833,0.87
SIR01_sl1000_mr075_nv10_8,0.769,0.625,0.69,0.818,0.562,0.667
SIR01_sl1000_mr075_nv10_9,0.692,0.667,0.679,0.895,0.63,0.739
SIR01_sl1000_mr15_nv10_10,0.767,0.719,0.742,0.808,0.656,0.724
SIR01_sl1000_mr15_nv10_11,0.778,0.583,0.667,0.875,0.583,0.7
SIR01_sl1000_mr15_nv10_12,0.783,0.75,0.766,0.842,0.667,0.744
SIR01_sl1000_mr15_nv10_14,1,1,1,1,1,1
SIR01_sl1000_mr15_nv10_15,0.556,0.526,0.541,0.692,0.474,0.562
SIR01_sl1000_mr15_nv10_16,0.857,0.857,0.857,0.625,0.714,0.667
SIR01_sl1000_mr15_nv10_17,0.889,0.8,0.842,1,0.75,0.857
SIR01_sl1000_mr15_nv10_18,0.721,0.71,0.715,0.92,0.667,0.773
SIR01_sl1000_mr15_nv10_19,0.889,0.889,0.889,0.889,0.889,0.889
SIR01_sl1000_mr15_nv10_20,0.778,0.778,0.778,0.7,0.778,0.737
SIR01_sl1000_mr15_nv10_3,0.855,0.797,0.825,0.885,0.78,0.829
SIR01_sl1000_mr15_nv10_5,0.9,0.9,0.9,0.889,0.8,0.842
SIR01_sl1000_mr15_nv10_6,1,1,1,1,1,1
SIR01_sl1000_mr15_nv10_7,0.844,0.76,0.8,0.85,0.68,0.756
SIR01_sl1000_mr15_nv10_8,0.8,0.8,0.8,0.857,0.6,0.706
SIR01_sl1000_mr15_nv10_9,0.667,0.667,0.667,0.789,0.714,0.75
SIR01_sl1000_mr15_nv20_1,0.793,0.719,0.754,0.87,0.625,0.727
SIR01_sl1000_mr15_nv20_10,0.769,0.769,0.769,1,0.692,0.818
SIR01_sl1000_mr15_nv20_11,0.833,0.847,0.84,0.864,0.864,0.864
SIR01_sl1000_mr15_nv20_12,0.75,0.6,0.667,0.889,0.533,0.667
SIR01_sl1000_mr15_nv20_13,0.833,0.833,0.833,0.833,0.833,0.833
SIR01_sl1000_mr15_nv20_14,0.4,0.4,0.4,0.4,0.4,0.4
SIR01_sl1000_mr15_nv20_15,0.429,0.429,0.429,0.5,0.357,0.417
SIR01_sl1000_mr15_nv20_16,0.9,0.857,0.878,0.947,0.857,0.9
SIR01_sl1000_mr15_nv20_17,0.714,0.714,0.714,0.714,0.714,0.714
SIR01_sl1000_mr15_nv20_18,0.9,0.9,0.9,0.964,0.9,0.931
SIR01_sl1000_mr15_nv20_19,0.957,0.882,0.918,0.933,0.824,0.875
SIR01_sl1000_mr15_nv20_2,0.6,0.6,0.6,0.833,0.5,0.625
SIR01_sl1000_mr15_nv20_20,0.786,0.786,0.786,0.857,0.857,0.857
SIR01_sl1000_mr15_nv20_3,0.8,0.8,0.8,1,0.6,0.75
SIR01_sl1000_mr15_nv20_4,0.797,0.739,0.767,0.909,0.725,0.806
SIR01_sl1000_mr15_nv20_5,0.7,0.7,0.7,0.75,0.6,0.667
SIR01_sl1000_mr15_nv20_6,0.778,0.875,0.824,0.778,0.875,0.824
SIR01_sl1000_mr15_nv20_7,0.821,0.821,0.821,0.923,0.857,0.889
SIR01_sl1000_mr15_nv20_8,0.864,0.792,0.826,0.927,0.792,0.854
SIR01_sl1000_mr15_nv20_9,0.783,0.692,0.735,0.9,0.692,0.783
SIR01_sl1000_mr15_nv5_1,0.75,0.643,0.692,0.81,0.607,0.694
SIR01_sl1000_mr15_nv5_10,0.727,0.727,0.727,1,0.727,0.842
SIR01_sl1000_mr15_nv5_11,0.667,0.667,0.667,0.714,0.556,0.625
SIR01_sl1000_mr15_nv5_12,0.591,0.565,0.578,0.706,0.522,0.6
SIR01_sl1000_mr15_nv5_13,0.812,0.812,0.812,0.765,0.812,0.788
SIR01_sl1000_mr15_nv5_14,0.773,0.773,0.773,0.778,0.636,0.7
SIR01_sl1000_mr15_nv5_15,0.778,0.778,0.778,0.795,0.689,0.738
SIR01_sl1000_mr15_nv5_16,0.444,0.444,0.444,0.5,0.444,0.471
SIR01_sl1000_mr15_nv5_17,0.875,0.875,0.875,0.875,0.875,0.875
SIR01_sl1000_mr15_nv5_18,0.778,0.778,0.778,1,0.778,0.875
SIR01_sl1000_mr15_nv5_19,0.632,0.571,0.6,0.733,0.524,0.611
SIR01_sl1000_mr15_nv5_2,0.636,0.6,0.618,0.75,0.6,0.667
SIR01_sl1000_mr15_nv5_20,0.786,0.647,0.71,0.917,0.647,0.759
SIR01_sl1000_mr15_nv5_3,0.625,0.556,0.588,0.4,0.222,0.286
SIR01_sl1000_mr15_nv5_4,0.684,0.52,0.591,0.917,0.44,0.595
SIR01_sl1000_mr15_nv5_5,0.727,0.727,0.727,0.667,0.545,0.6
SIR01_sl1000_mr15_nv5_6,0.706,0.522,0.6,0.846,0.478,0.611
SIR01_sl1000_mr15_nv5_7,0.571,0.5,0.533,1,0.5,0.667
SIR01_sl1000_mr15_nv5_8,0.375,0.375,0.375,0.6,0.375,0.462
SIR01_sl1000_mr15_nv5_9,0.65,0.553,0.598,0.844,0.574,0.684
SIR01_sl1000_mr3_nv10_1,0.852,0.767,0.807,0.88,0.733,0.8
SIR01_sl1000_mr3_nv10_10,1,0.778,0.875,1,0.667,0.8
SIR01_sl1000_mr3_nv10_11,0.769,0.702,0.734,0.907,0.684,0.78
SIR01_sl1000_mr3_nv10_12,0.733,0.647,0.688,0.793,0.676,0.73
SIR01_sl1000_mr3_nv10_13,0.8,0.667,0.727,0.846,0.611,0.71
SIR01_sl1000_mr3_nv10_14,0.857,0.857,0.857,0.889,0.857,0.873
SIR01_sl1000_mr3_nv10_15,0.667,0.667,0.667,0.75,0.333,0.462
SIR01_sl1000_mr3_nv10_16,0.833,0.781,0.806,0.926,0.781,0.847
SIR01_sl1000_mr3_nv10_17,0.8,0.8,0.8,0.8,0.8,0.8
SIR01_sl1000_mr3_nv10_18,0.783,0.75,0.766,0.85,0.708,0.773
SIR01_sl1000_mr3_nv10_19,0.65,0.433,0.52,0.824,0.467,0.596
SIR01_sl1000_mr3_nv10_2,0.778,0.778,0.778,0.778,0.778,0.778
SIR01_sl1000_mr3_nv10_20,0.667,0.667,0.667,0.667,0.667,0.667
SIR01_sl1000_mr3_nv10_3,0.7,0.7,0.7,0.875,0.7,0.778
SIR01_sl1000_mr3_nv10_4,0.917,0.917,0.917,0.9,0.75,0.818
SIR01_sl1000_mr3_nv10_5,0.741,0.714,0.727,0.826,0.679,0.745
SIR01_sl1000_mr3_nv10_6,0.653,0.593,0.621,0.769,0.556,0.645
SIR01_sl1000_mr3_nv10_7,0.789,0.652,0.714,0.812,0.565,0.667
SIR01_sl1000_mr3_nv10_8,0.857,0.6,0.706,1,0.6,0.75
SIR01_sl1000_mr3_nv10_9,0.857,0.621,0.72,1,0.552,0.711
SIR01_sl250_mr15_nv10_1,0.625,0.588,0.606,0.588,0.588,0.588
SIR01_sl250_mr15_nv10_10,0.5,0.536,0.517,0.653,0.571,0.61
SIR01_sl250_mr15_nv10_11,0.462,0.5,0.48,0.6,0.5,0.545
SIR01_sl250_mr15_nv10_12,0.5,0.632,0.558,0.579,0.579,0.579
SIR01_sl250_mr15_nv10_13,0.462,0.462,0.462,0.556,0.385,0.455
SIR01_sl250_mr15_nv10_14,0.35,0.467,0.4,0.438,0.467,0.452
SIR01_sl250_mr15_nv10_15,0.6,0.375,0.462,0.5,0.25,0.333
SIR01_sl250_mr15_nv10_16,0.538,0.609,0.571,0.538,0.609,0.571
SIR01_sl250_mr15_nv10_17,0.857,0.857,0.857,1,1,1
SIR01_sl250_mr15_nv10_18,0.5,0.65,0.565,0.565,0.65,0.605
SIR01_sl250_mr15_nv10_19,0.75,0.857,0.8,0.75,0.857,0.8
SIR01_sl250_mr15_nv10_2,0.545,0.667,0.6,0.5,0.667,0.571
SIR01_sl250_mr15_nv10_20,0.375,0.429,0.4,0.429,0.429,0.429
SIR01_sl250_mr15_nv10_3,0.714,0.714,0.714,0.643,0.643,0.643
SIR01_sl250_mr15_nv10_4,0.462,0.5,0.48,0.545,0.5,0.522
SIR01_sl250_mr15_nv10_5,0.8,0.889,0.842,0.727,0.889,0.8
SIR01_sl250_mr15_nv10_6,0.468,0.512,0.489,0.475,0.442,0.458
SIR01_sl250_mr15_nv10_7,0.634,0.634,0.634,0.676,0.561,0.613
SIR01_sl250_mr15_nv10_8,0.75,0.667,0.706,0.714,0.556,0.625
SIR01_sl250_mr15_nv10_9,0.556,0.5,0.526,0.5,0.4,0.444
SIR01_sl500_mr15_nv10_1,0.5,0.4,0.444,1,0.4,0.571
SIR01_sl500_mr15_nv10_10,0.538,0.538,0.538,0.636,0.538,0.583
SIR01_sl500_mr15_nv10_11,0.667,0.588,0.625,0.846,0.647,0.733
SIR01_sl500_mr15_nv10_12,0.667,0.667,0.667,0.5,0.5,0.5
SIR01_sl500_mr15_nv10_13,0.571,0.571,0.571,0.625,0.714,0.667
SIR01_sl500_mr15_nv10_14,0.611,0.564,0.587,0.75,0.538,0.627
SIR01_sl500_mr15_nv10_15,0.562,0.6,0.581,0.594,0.633,0.613
SIR01_sl500_mr15_nv10_16,0.8,0.8,0.8,0.8,0.8,0.8
SIR01_sl500_mr15_nv10_17,0.769,0.769,0.769,0.692,0.692,0.692
SIR01_sl500_mr15_nv10_18,0.583,0.56,0.571,0.7,0.56,0.622
SIR01_sl500_mr15_nv10_19,0.72,0.667,0.692,0.842,0.593,0.696
SIR01_sl500_mr15_nv10_2,0.727,0.762,0.744,0.7,0.667,0.683
SIR01_sl500_mr15_nv10_20,0.833,0.8,0.816,0.9,0.72,0.8
SIR01_sl500_mr15_nv10_3,0.75,0.789,0.769,0.75,0.632,0.686
SIR01_sl500_mr15_nv10_4,0.826,0.776,0.8,0.895,0.694,0.782
SIR01_sl500_mr15_nv10_5,0.72,0.692,0.706,0.786,0.635,0.702
SIR01_sl500_mr15_nv10_6,0.935,1,0.967,0.933,0.966,0.949
SIR01_sl500_mr15_nv10_7,0.778,1,0.875,0.778,1,0.875
SIR01_sl500_mr15_nv10_8,0.571,0.5,0.533,0.6,0.375,0.462
SIR01_sl500_mr15_nv10_9,0.632,0.632,0.632,0.822,0.649,0.725
,,,,,,
,,,,,,
,0.729232014388491,0.73589928057554,0.729953237410073,0.775095323741008,0.696884892086332,0.727084532374101
